itinerary,cabin_class,cabin_type,passenger_count,price,ship,date
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Interior,Interior,1-4,1840,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Interior,Interior plus,1-4,1880,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Interior,Spacious interior,1-4,1970,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Outside view,Not selecting,1-4,1705,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Outside view,Ocean view,1-4,1950,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Balcony,Not selecting,1-4,2313,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Balcony,Spacious Central park,1-4,2217,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Balcony,Spacious ocean view,1-4,2361,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Balcony,Connecting ocean view,1-4,2431,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Balcony,Ocean view large balcony,1-4,2511,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Not selecting,1-8,2715,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Surf side family,1-8,3168,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Sky junior,1-8,4521,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Ocean view panoramic,1-8,6179,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Sunset,1-8,6399,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Sunset corner,1-8,7088,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Ultimate Townhouse,1-8,24615,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Icon loft,1-8,11485,Icon,2025-05-16 to 2025-05-23
"Miami, Florida; Philipsburg, St. Maarten; Charlotte Amalie, St. Thomas; Perfect Day at CocoCay, Bahamas; Miami, Florida;",Suite,Royal loft,1-8,19975,Icon,2025-05-16 to 2025-05-23
